20221205	16:57:59	6114056c-00b5-46c5-a1fb-7a54df263b4a	GET	undefined	/refresh
20221205	16:58:02	58b1f1fb-3907-4e71-9fb5-fc21f2435bb7	GET	undefined	/refresh
20221205	16:58:04	4a4bac70-3d54-4a62-b9ef-062e406ffad3	GET	undefined	/refresh
20221205	17:30:28	da8ce588-4089-4de7-a0f6-d928fd8cb99d	POST	undefined	/auth
20221205	17:31:18	5f548c30-0ebc-43ed-bc54-d445d7fe88da	GET	undefined	/logout
20221205	17:32:01	389baa2d-bcfc-4591-bb6d-69a6e79e0f6d	GET	undefined	/logout
20221205	17:32:24	d986fa15-6b36-4eb0-9f92-00aa60e9fa89	GET	undefined	/refresh
20221205	17:32:39	7982e1cb-e95a-4193-a690-ac2c8f186731	GET	undefined	/refresh
20221205	17:33:14	fb292608-f847-40c6-b10b-85bb131ee064	GET	undefined	/refresh
20221205	17:33:48	e42a192e-902d-456c-8ea3-66389ed7bf79	POST	undefined	/auth
20221206	14:34:58	30529b2e-803b-4c0d-b394-6c6139daf16f	POST	undefined	/register
20221206	14:35:04	c88d5da7-d39a-4ab8-9dd7-9dc57e1d79a8	POST	undefined	/register
20221206	14:35:53	945364c0-a330-4527-8eb3-5a7b870bd2b5	POST	undefined	/register
20221206	15:10:29	8a53478d-1ef2-4118-a237-c8bb46868525	POST	undefined	/auth
20221206	15:10:52	f76b5da9-9ed9-4174-beca-193633845ffd	GET	undefined	/employees
20221206	15:11:21	4721fe15-ded5-4df9-a66a-eef741d82996	POST	undefined	/employees
20221206	15:11:54	cefd3c63-3f11-4fdf-a7a4-333e127d8824	GET	undefined	/employees
20221206	15:13:01	19a71c0a-c9be-4bca-be9a-ca68e40fa61b	POST	undefined	/auth
20221206	15:13:33	d4af9f4c-ad4e-4ca1-b8fe-5efa8996d019	GET	undefined	/employees
20221206	15:14:02	673e21aa-7d6d-4af3-9951-b1428661ab4f	POST	undefined	/auth
20221206	15:14:28	6a3a547f-d0cb-4103-bf70-d2067a32c3cf	GET	undefined	/employees
20221206	15:15:13	ba80fe95-0453-45d0-bde0-b81fb0f94caa	POST	undefined	/auth
20221206	15:15:48	1b13c05b-705d-42b6-b0b9-7e00245ee307	POST	undefined	/employees
